csvTime,P2_2,P2_3,P2_25,P2_24
2024-05-16 16:00:49,0,0,126,1802
2024-05-16 16:01:49,0,0,139,1800
2024-05-16 16:02:49,8,0,152,1799
2024-05-16 16:03:49,0,0,158,1796
2024-05-16 16:04:49,0,0,144,1799
2024-05-16 16:05:48,0,0,162,1799
2024-05-16 16:06:49,0,0,233,1793
2024-05-16 16:07:49,0,0,132,1798
2024-05-16 16:08:49,0,0,156,1807
2024-05-16 16:09:49,0,0,129,1804
2024-05-16 16:10:49,0,0,142,1803
2024-05-16 16:11:49,0,0,135,1800
2024-05-16 16:12:49,8,0,137,1805
2024-05-16 16:13:49,0,0,178,1802
2024-05-16 16:14:49,0,0,141,1802
2024-05-16 16:15:48,0,0,146,1802
2024-05-16 16:16:49,0,0,136,1802
2024-05-16 16:17:49,0,0,113,1802
2024-05-16 16:18:49,0,0,122,1803
2024-05-16 16:19:49,0,0,106,1804
2024-05-16 16:20:49,0,0,103,1804
2024-05-16 16:21:49,8,0,114,1801
2024-05-16 16:22:49,8,0,102,1804
2024-05-16 16:23:48,8,0,108,1802
2024-05-16 16:24:48,0,0,106,1804
2024-05-16 16:25:49,0,0,102,1805
2024-05-16 16:26:49,0,0,111,1802
2024-05-16 16:27:49,0,0,106,1803
2024-05-16 16:28:49,0,0,110,1802
2024-05-16 16:29:49,0,0,111,1802
2024-05-16 16:30:49,0,0,103,1800
2024-05-16 16:31:49,8,0,121,1801
2024-05-16 16:32:49,0,0,137,1797
2024-05-16 16:33:49,0,0,117,1802
2024-05-16 16:34:49,0,0,109,1803
2024-05-16 16:35:49,0,0,140,1799
2024-05-16 16:36:49,0,0,114,1802
2024-05-16 16:37:49,0,0,114,1802
2024-05-16 16:38:49,0,0,111,1802
2024-05-16 16:39:49,0,0,111,1804
2024-05-16 16:40:49,0,0,108,1800
2024-05-16 16:41:49,8,0,104,1804
2024-05-16 16:42:49,0,0,106,1803
2024-05-16 16:43:49,0,0,106,1802
2024-05-16 16:44:48,0,0,102,1804
2024-05-16 16:45:49,0,0,106,1802
2024-05-16 16:46:49,0,0,106,1803
2024-05-16 16:47:49,0,0,126,1800
2024-05-16 16:48:49,0,0,102,1803
2024-05-16 16:49:49,0,0,102,1804
