csvTime,P2_60
2024-05-16 16:00:49,357
2024-05-16 16:01:49,426
2024-05-16 16:02:48,442
2024-05-16 16:03:48,544
2024-05-16 16:04:48,435
2024-05-16 16:05:49,483
2024-05-16 16:06:49,781
2024-05-16 16:07:49,420
2024-05-16 16:08:49,451
2024-05-16 16:09:48,384
2024-05-16 16:10:48,417
2024-05-16 16:11:48,409
2024-05-16 16:12:48,395
2024-05-16 16:13:49,580
2024-05-16 16:14:48,437
2024-05-16 16:15:49,472
2024-05-16 16:16:49,450
2024-05-16 16:17:49,310
2024-05-16 16:18:49,368
2024-05-16 16:19:49,271
2024-05-16 16:20:49,250
2024-05-16 16:21:49,329
2024-05-16 16:22:48,244
2024-05-16 16:23:49,295
2024-05-16 16:24:49,293
2024-05-16 16:25:49,252
2024-05-16 16:26:49,274
2024-05-16 16:27:49,271
2024-05-16 16:28:49,319
2024-05-16 16:29:48,326
2024-05-16 16:30:48,230
2024-05-16 16:31:49,348
2024-05-16 16:32:48,393
2024-05-16 16:33:49,357
2024-05-16 16:34:48,299
2024-05-16 16:35:49,414
2024-05-16 16:36:49,332
2024-05-16 16:37:49,315
2024-05-16 16:38:48,293
2024-05-16 16:39:49,288
2024-05-16 16:40:48,271
2024-05-16 16:41:49,247
2024-05-16 16:42:48,260
2024-05-16 16:43:49,241
2024-05-16 16:44:49,239
2024-05-16 16:45:49,238
2024-05-16 16:46:49,250
2024-05-16 16:47:49,373
2024-05-16 16:48:48,241
2024-05-16 16:49:48,222
2024-05-16 16:50:49,360
2024-05-16 16:51:49,542
2024-05-16 16:52:49,453
2024-05-16 16:53:48,280
2024-05-16 16:54:49,277
2024-05-16 16:55:49,255
2024-05-16 16:56:49,238
2024-05-16 16:57:48,231
2024-05-16 16:58:49,226
2024-05-16 16:59:48,241
2024-05-16 17:00:49,305
2024-05-16 17:01:48,269
2024-05-16 17:02:49,285
2024-05-16 17:03:49,250
2024-05-16 17:04:48,268
2024-05-16 17:05:49,461
2024-05-16 17:06:49,271
2024-05-16 17:07:48,291
2024-05-16 17:08:49,536
2024-05-16 17:09:49,390
2024-05-16 17:10:49,260
2024-05-16 17:11:49,296
2024-05-16 17:12:49,288
2024-05-16 17:13:49,285
2024-05-16 17:14:49,277
2024-05-16 17:15:49,282
2024-05-16 17:16:48,277
2024-05-16 17:17:48,288
2024-05-16 17:18:48,293
2024-05-16 17:19:48,297
2024-05-16 17:20:49,282
2024-05-16 17:21:49,222
2024-05-16 17:22:49,346
2024-05-16 17:23:48,238
2024-05-16 17:24:49,233
