csvTime,P3_32,P3_15
2024-05-16 16:01:00,508,27.2
2024-05-16 16:01:59,501,32.5
2024-05-16 16:02:59,488,32.9
2024-05-16 16:04:00,463,13.2
2024-05-16 16:04:59,529,115.4
2024-05-16 16:05:59,548,149.6
2024-05-16 16:06:59,455,19.3
2024-05-16 16:07:59,473,49.4
2024-05-16 16:08:59,529,115.3
2024-05-16 16:10:00,518,45.2
2024-05-16 16:10:59,522,45.7
2024-05-16 16:11:59,553,73.9
2024-05-16 16:12:59,551,81.6
2024-05-16 16:13:59,464,-0.5
2024-05-16 16:14:59,475,25.3
2024-05-16 16:15:59,527,79.3
2024-05-16 16:17:00,469,12.2
2024-05-16 16:17:59,524,25.0
2024-05-16 16:18:59,1076,115.5
2024-05-16 16:20:00,1133,131.4
2024-05-16 16:20:59,1051,-0.6
2024-05-16 16:21:59,1147,159.6
2024-05-16 16:22:59,1020,-0.8
2024-05-16 16:23:59,1014,-0.7
2024-05-16 16:24:59,1017,-0.5
2024-05-16 16:25:59,1062,-0.7
2024-05-16 16:26:59,1060,29.1
2024-05-16 16:27:59,1053,28.3
2024-05-16 16:28:59,1051,39.0
2024-05-16 16:29:59,1065,62.5
2024-05-16 16:30:59,1080,97.0
2024-05-16 16:31:59,1044,73.3
2024-05-16 16:32:59,1007,61.4
2024-05-16 16:33:59,1009,53.1
2024-05-16 16:35:00,1062,54.7
2024-05-16 16:35:59,1041,42.0
2024-05-16 16:36:59,1053,54.1
2024-05-16 16:37:59,1039,16.1
2024-05-16 16:39:00,1033,32.6
2024-05-16 16:39:59,1026,7.2
2024-05-16 16:40:59,1046,7.5
2024-05-16 16:41:59,1058,5.3
2024-05-16 16:42:59,1060,6.9
2024-05-16 16:43:59,1058,0.0
2024-05-16 16:45:00,1058,1.0
2024-05-16 16:46:00,1051,1.0
2024-05-16 16:46:59,1057,7.3
2024-05-16 16:47:59,978,-0.6
2024-05-16 16:48:59,1016,-0.6
2024-05-16 16:49:59,1055,-0.5
2024-05-16 16:50:59,923,-0.8
2024-05-16 16:51:59,1076,107.4
2024-05-16 16:52:59,1093,181.3
2024-05-16 16:53:59,1050,26.6
2024-05-16 16:55:00,1041,13.4
2024-05-16 16:56:00,1064,3.6
2024-05-16 16:56:59,1062,9.7
2024-05-16 16:57:59,1061,-0.3
2024-05-16 16:58:59,1068,3.8
2024-05-16 17:00:59,948,57.5
2024-05-16 17:01:59,1051,29.4
2024-05-16 17:02:59,1055,34.5
2024-05-16 17:03:59,1079,33.6
2024-05-16 17:04:59,1064,33.3
2024-05-16 17:05:59,1235,325.6
2024-05-16 17:06:59,1019,-0.6
2024-05-16 17:07:59,1052,-0.7
2024-05-16 17:08:59,1108,195.2
2024-05-16 17:09:59,1034,15.2
2024-05-16 17:10:59,1044,17.2
2024-05-16 17:11:59,1047,19.1
2024-05-16 17:12:59,1030,19.8
2024-05-16 17:14:00,1037,19.4
2024-05-16 17:14:59,1041,23.3
2024-05-16 17:15:59,1033,13.6
2024-05-16 17:16:59,1058,29.3
2024-05-16 17:17:59,1050,36.6
2024-05-16 17:18:59,1042,27.7
2024-05-16 17:19:59,1065,32.8
2024-05-16 17:20:59,1042,27.5
2024-05-16 17:21:59,1059,-0.7
2024-05-16 17:22:59,1058,-0.8
2024-05-16 17:23:59,1062,9.4
2024-05-16 17:25:00,1059,6.7
2024-05-16 17:26:00,1066,-0.8
2024-05-16 17:26:59,1026,-0.6
2024-05-16 17:27:59,989,-0.7
2024-05-16 17:29:00,1021,11.1
2024-05-16 17:29:59,1058,103.7
2024-05-16 17:30:59,1068,99.6
2024-05-16 17:31:59,1062,11.0
2024-05-16 17:32:59,1067,3.0
2024-05-16 17:34:00,1062,3.0
2024-05-16 17:34:59,1042,26.9
2024-05-16 17:35:59,1050,27.2
2024-05-16 17:36:59,1060,57.4
2024-05-16 17:37:59,1033,43.4
2024-05-16 17:38:59,1073,3.0
2024-05-16 17:39:59,1086,42.0
2024-05-16 17:40:59,1044,-0.7
2024-05-16 17:41:59,964,-0.6
2024-05-16 17:43:00,986,58.6
2024-05-16 17:43:59,1149,249.3
2024-05-16 17:44:59,1053,125.6
2024-05-16 17:45:59,1087,111.3
2024-05-16 17:46:59,1052,-0.6
2024-05-16 17:47:59,1168,172.7
2024-05-16 17:48:59,1080,152.5
2024-05-16 17:49:59,1050,33.0
2024-05-16 17:50:59,1035,17.4
2024-05-16 17:51:59,1036,9.2
2024-05-16 17:52:59,1044,8.8
2024-05-16 17:53:59,1034,13.8
2024-05-16 17:54:59,1040,5.2
2024-05-16 17:56:00,1040,81.4
2024-05-16 17:56:59,1042,11.0
2024-05-16 17:57:59,1078,9.2
2024-05-16 17:58:59,1050,11.0
2024-05-16 18:00:59,1045,13.3
2024-05-16 18:01:59,1049,17.4
2024-05-16 18:02:59,1038,15.2
2024-05-16 18:03:59,1043,12.7
2024-05-16 18:04:59,1069,-0.6
2024-05-16 18:05:59,1065,-0.6
2024-05-16 18:07:00,1054,-0.7
2024-05-16 18:07:59,999,-0.7
2024-05-16 18:08:59,1057,-0.8
2024-05-16 18:09:59,979,-0.6
2024-05-16 18:10:59,980,-0.7
2024-05-16 18:12:00,1035,124.8
2024-05-16 18:12:59,1077,151.6
2024-05-16 18:13:59,1054,41.3
2024-05-16 18:14:59,1045,45.1
2024-05-16 18:15:59,1058,-0.7
2024-05-16 18:16:59,1158,185.2
2024-05-16 18:18:00,1060,-0.7
2024-05-16 18:18:59,1057,-0.6
2024-05-16 18:19:59,1046,113.4
2024-05-16 18:20:59,1057,123.3
2024-05-16 18:21:59,1092,169.2
2024-05-16 18:22:59,1058,69.5
2024-05-16 18:23:59,922,13.2
2024-05-16 18:24:59,1101,103.4
2024-05-16 18:25:59,1047,31.2
2024-05-16 18:26:59,1051,32.8
2024-05-16 18:27:59,1049,35.7
2024-05-16 18:28:59,1063,36.7
2024-05-16 18:29:59,1044,19.1
2024-05-16 18:31:00,1069,69.2
2024-05-16 18:32:00,1071,67.6
2024-05-16 18:32:59,1065,89.6
2024-05-16 18:34:00,1078,14.1
2024-05-16 18:34:59,922,97.3
2024-05-16 18:35:59,1082,-0.7
2024-05-16 18:36:59,1069,53.2
2024-05-16 18:37:59,1099,67.3
2024-05-16 18:38:59,1058,64.9
2024-05-16 18:39:59,1070,81.2
2024-05-16 18:40:59,1094,201.2
2024-05-16 18:41:59,1081,58.6
2024-05-16 18:42:59,1046,23.2
2024-05-16 18:43:59,1069,49.4
2024-05-16 18:44:59,1040,-0.6
2024-05-16 18:45:59,1034,-0.7
2024-05-16 18:46:59,1056,28.9
2024-05-16 18:47:59,1256,369.6
2024-05-16 18:48:59,1064,-0.7
2024-05-16 18:49:59,1102,237.1
2024-05-16 18:51:00,1091,231.4
2024-05-16 18:51:59,1047,-0.7
2024-05-16 18:52:59,1004,-0.7
2024-05-16 18:53:59,1021,-0.7
2024-05-16 18:55:00,1058,-0.7
2024-05-16 18:55:59,1033,65.8
2024-05-16 18:56:59,1071,63.4
2024-05-16 18:57:59,1072,61.6
2024-05-16 18:58:59,1063,55.5
2024-05-16 19:00:59,1067,55.3
2024-05-16 19:01:59,1078,62.4
2024-05-16 19:02:59,1072,61.5
2024-05-16 19:04:00,1080,63.3
2024-05-16 19:04:59,1085,58.4
2024-05-16 19:05:59,1014,63.4
2024-05-16 19:07:00,1003,43.6
2024-05-16 19:07:59,1043,127.9
2024-05-16 19:08:59,1086,87.4
2024-05-16 19:10:00,1047,11.0
2024-05-16 19:10:59,1083,25.3
2024-05-16 19:11:59,1036,33.5
2024-05-16 19:12:59,1045,34.7
2024-05-16 19:13:59,1078,43.6
2024-05-16 19:14:59,1097,103.4
2024-05-16 19:16:00,1091,105.5
2024-05-16 19:16:59,1070,31.0
2024-05-16 19:18:00,1078,37.2
2024-05-16 19:18:59,1057,34.7
2024-05-16 19:19:59,1037,9.1
2024-05-16 19:20:59,1032,12.4
2024-05-16 19:21:59,1036,11.1
2024-05-16 19:22:59,1037,15.2
2024-05-16 19:23:59,1038,13.3
2024-05-16 19:24:59,1033,11.1
2024-05-16 19:25:59,1025,11.1
2024-05-16 19:26:59,985,11.0
2024-05-16 19:27:59,1044,9.2
2024-05-16 19:28:59,1044,51.7
2024-05-16 19:29:59,1031,37.7
2024-05-16 19:30:59,1038,87.6
2024-05-16 19:31:59,1010,29.3
2024-05-16 19:32:59,1027,9.2
2024-05-16 19:34:00,1073,373.5
2024-05-16 19:34:59,1021,259.6
2024-05-16 19:35:59,1083,349.6
2024-05-16 19:36:59,1048,-0.7
2024-05-16 19:37:59,1050,-0.5
2024-05-16 19:38:59,1034,51.2
2024-05-16 19:39:59,1023,55.1
2024-05-16 19:40:59,1053,63.3
2024-05-16 19:41:59,1046,-0.6
2024-05-16 19:42:59,1078,53.4
2024-05-16 19:43:59,1054,5.9
2024-05-16 19:44:59,1028,14.7
2024-05-16 19:45:59,1061,48.9
2024-05-16 19:46:59,1015,-0.8
2024-05-16 19:47:59,1069,164.7
2024-05-16 19:48:59,1106,197.0
2024-05-16 19:49:59,1172,172.9
2024-05-16 19:50:59,1078,48.6
2024-05-16 19:51:59,1080,1.2
2024-05-16 19:52:59,1074,39.2
2024-05-16 19:53:59,1074,101.3
2024-05-16 19:54:59,1067,43.3
2024-05-16 19:55:59,1050,31.1
2024-05-16 19:56:59,1052,15.6
2024-05-16 19:57:59,1034,13.3
2024-05-16 19:58:59,1039,13.6
2024-05-16 20:00:59,1054,43.3
2024-05-16 20:01:59,1075,39.1
2024-05-16 20:02:59,1086,41.3
2024-05-16 20:04:00,1066,37.5
2024-05-16 20:04:59,1073,35.8
2024-05-16 20:05:59,1078,41.8
2024-05-16 20:06:59,1072,41.1
2024-05-16 20:07:59,1080,43.3
2024-05-16 20:08:59,1084,44.5
2024-05-16 20:09:59,1077,38.3
2024-05-16 20:11:00,1066,27.2
2024-05-16 20:11:59,1067,35.7
2024-05-16 20:12:59,1072,39.2
2024-05-16 20:13:59,1075,41.3
2024-05-16 20:14:59,1068,37.2
2024-05-16 20:15:59,1075,39.4
2024-05-16 20:16:59,1059,35.3
2024-05-16 20:18:00,989,-0.6
2024-05-16 20:18:59,1064,-0.7
2024-05-16 20:20:00,905,-0.7
2024-05-16 20:20:59,1059,23.6
2024-05-16 20:21:59,846,-0.7
2024-05-16 20:22:59,882,-0.8
2024-05-16 20:23:59,1061,59.3
2024-05-16 20:24:59,1052,63.3
2024-05-16 20:25:59,1047,41.4
2024-05-16 20:26:59,1049,45.3
2024-05-16 20:28:00,1070,43.4
2024-05-16 20:28:59,1081,39.5
2024-05-16 20:29:59,1082,61.4
2024-05-16 20:30:59,1092,63.4
2024-05-16 20:31:59,1094,63.5
2024-05-16 20:32:59,1094,63.5
2024-05-16 20:33:59,1096,72.0
2024-05-16 20:35:00,1086,60.7
