13-2-11_v,13-2-10_v,13-2-13_v,13-2-12_v,13-2-6_v,13-2-5_v,13-2-4_v,13-2-3_v,13-2-2_v,13-2-1_v,13-2-0_v,13-2-9_v,13-2-8_v,csvTime,13-2-7_v
6,5998,0.0,967,10,9,10,11,6949,6943,6938,96,11,2024-05-16 16:00:33,3
5,5998,0.0,2260,10,7,9,10,6949,6942,6936,95,10,2024-05-16 16:01:33,2
8,5991,0.0,2694,9,6,9,10,6949,6943,6937,95,10,2024-05-16 16:02:33,2
9,5990,0.0,1542,10,9,10,11,6947,6941,6935,95,11,2024-05-16 16:03:35,3
15,6010,0.0,2571,9,6,9,10,6941,6934,6928,95,10,2024-05-16 16:04:35,2
13,5989,0.0,665,16,17,18,19,6945,6939,6933,96,17,2024-05-16 16:05:36,4
11,5994,0.0,1749,9,8,9,10,6949,6943,6937,95,10,2024-05-16 16:06:37,3
9,6001,0.0,1739,10,8,10,11,6945,6939,6934,95,10,2024-05-16 16:07:38,3
15,5936,0.0,2520,9,6,9,10,6943,6937,6930,95,10,2024-05-16 16:08:39,3
9,6042,0.0,227,23,24,25,25,6949,6943,6938,97,23,2024-05-16 16:09:40,5
9,6007,0.0,1604,11,9,11,12,6950,6944,6938,95,11,2024-05-16 16:10:40,3
15,6014,0.0,1562,11,7,9,11,6951,6944,6938,95,11,2024-05-16 16:11:41,3
9,6010,0.0,1640,10,8,10,11,6946,6941,6936,95,10,2024-05-16 16:12:41,3
15,5991,0.0,2524,9,6,9,10,6942,6936,6930,95,10,2024-05-16 16:13:42,2
9,6003,0.0,2581,9,6,9,10,6947,6941,6935,95,10,2024-05-16 16:14:42,2
4,6002,0.0,2630,9,6,9,10,6947,6942,6936,95,10,2024-05-16 16:15:42,2
14,5999,0.0,2647,9,6,9,10,6948,6943,6937,95,10,2024-05-16 16:16:43,2
15,6010,0.0,1775,9,8,10,11,6955,6949,6943,95,9,2024-05-16 16:17:44,3
4,6011,0.0,1463,10,8,10,11,6968,6963,6957,95,10,2024-05-16 16:18:44,3
8,6012,0.0,2703,9,6,9,10,6972,6966,6960,95,10,2024-05-16 16:19:45,2
6,6007,0.0,2568,9,6,9,10,6972,6967,6961,95,10,2024-05-16 16:20:45,2
4,6004,0.0,2741,9,6,9,10,6973,6967,6961,95,10,2024-05-16 16:21:45,2
5,6011,0.0,2614,9,6,9,10,6970,6965,6960,96,10,2024-05-16 16:22:46,2
11,6007,0.0,2780,9,6,9,10,6971,6965,6960,96,10,2024-05-16 16:23:46,2
10,6007,0.0,2670,9,6,9,10,6972,6966,6960,95,10,2024-05-16 16:24:46,2
6,6011,0.0,2782,9,6,9,10,6967,6962,6957,96,10,2024-05-16 16:25:46,2
6,6007,0.0,0,2,0,0,0,6971,6965,6960,100,3,2024-05-16 16:26:46,1
5,6008,0.0,0,2,0,0,0,6972,6967,6962,100,2,2024-05-16 16:27:46,1
3,6007,0.0,0,2,0,0,0,6971,6966,6960,100,2,2024-05-16 16:28:46,1
13,6006,0.0,0,2,0,0,0,6970,6964,6958,100,2,2024-05-16 16:29:46,1
13,6011,0.0,0,2,0,0,0,6972,6967,6961,100,2,2024-05-16 16:30:46,1
