1-3-12_v,1-3-9_v,1-3-13_v,1-3-8_v,1-3-10_v,1-3-7_v,1-3-11_v,1-3-6_v,1-3-5_v,1-3-4_v,1-3-3_v,1-3-2_v,1-3-1_v,1-3-0_v,csvTime
353,95,0.0,11,5999,3,13,10,10,11,11,6943,6948,6954,2024-05-16 16:00:29
400,95,0.0,12,5998,3,14,12,12,12,13,6942,6947,6952,2024-05-16 16:01:29
1375,95,0.0,9,5999,2,3,8,7,8,9,6942,6947,6952,2024-05-16 16:02:29
318,96,0.0,13,5986,4,12,12,19,19,20,6942,6947,6952,2024-05-16 16:03:30
328,95,0.0,11,5984,3,12,11,11,11,12,6935,6940,6945,2024-05-16 16:04:31
100,96,0.0,13,5985,3,10,13,14,14,14,6941,6946,6951,2024-05-16 16:05:32
1571,95,0.0,9,5989,2,6,8,6,8,9,6943,6949,6954,2024-05-16 16:06:33
1511,95,0.0,9,6002,2,13,8,7,8,9,6944,6950,6955,2024-05-16 16:07:34
1749,94,0.0,8,5955,2,8,8,6,8,8,6941,6945,6950,2024-05-16 16:08:34
35,97,0.0,32,6007,7,8,31,31,31,32,6943,6949,6954,2024-05-16 16:09:35
1373,95,0.0,9,6011,2,10,9,7,8,9,6940,6945,6951,2024-05-16 16:10:36
1649,95,0.0,9,6013,2,14,8,6,8,9,6942,6947,6953,2024-05-16 16:11:37
1693,95,0.0,9,5999,2,12,8,6,8,9,6950,6956,6961,2024-05-16 16:12:37
1546,95,0.0,9,5996,2,10,8,6,8,9,6941,6945,6950,2024-05-16 16:13:38
1625,95,0.0,9,6006,2,3,8,6,8,9,6943,6948,6952,2024-05-16 16:14:38
1374,95,0.0,9,6000,2,13,9,7,8,9,6942,6948,6953,2024-05-16 16:15:38
1405,95,0.0,9,6005,2,13,9,7,8,9,6942,6948,6954,2024-05-16 16:16:39
227,96,0.0,18,6007,4,6,17,18,19,19,6947,6952,6957,2024-05-16 16:17:40
139,97,0.0,15,6000,3,9,14,19,19,19,6962,6968,6974,2024-05-16 16:18:40
1681,95,0.0,9,6013,2,10,8,6,8,9,6965,6970,6976,2024-05-16 16:19:41
1700,95,0.0,9,6006,2,9,8,6,8,9,6965,6970,6976,2024-05-16 16:20:41
1736,95,0.0,9,6003,2,5,8,6,8,9,6964,6970,6976,2024-05-16 16:21:41
1697,95,0.0,9,6009,2,12,8,6,8,9,6964,6971,6977,2024-05-16 16:22:42
1697,95,0.0,9,6008,2,15,8,6,8,9,6964,6971,6977,2024-05-16 16:23:42
0,100,0.0,3,6007,1,15,3,0,0,1,6965,6971,6977,2024-05-16 16:24:42
0,100,0.0,3,6006,1,12,2,0,0,0,6964,6970,6975,2024-05-16 16:25:42
264,96,0.0,14,6002,4,13,14,17,17,17,6970,6976,6982,2024-05-16 16:26:42
1722,95,0.0,9,6008,2,15,8,6,8,9,6966,6972,6978,2024-05-16 16:27:42
