P1_75,csvTime,P1_66
384,2024-05-16 16:00:00,0
389,2024-05-16 16:00:59,0
403,2024-05-16 16:01:59,0
433,2024-05-16 16:02:59,0
409,2024-05-16 16:03:59,0
533,2024-05-16 16:04:59,0
575,2024-05-16 16:05:59,0
507,2024-05-16 16:06:59,0
535,2024-05-16 16:08:00,0
563,2024-05-16 16:09:00,0
376,2024-05-16 16:09:59,0
378,2024-05-16 16:10:59,0
388,2024-05-16 16:11:59,0
381,2024-05-16 16:13:00,0
397,2024-05-16 16:13:59,0
428,2024-05-16 16:14:59,0
445,2024-05-16 16:15:59,0
420,2024-05-16 16:16:59,0
324,2024-05-16 16:17:59,0
370,2024-05-16 16:18:59,0
319,2024-05-16 16:19:59,0
251,2024-05-16 16:20:59,0
324,2024-05-16 16:21:59,0
301,2024-05-16 16:23:00,0
295,2024-05-16 16:24:00,0
291,2024-05-16 16:24:59,0
230,2024-05-16 16:26:00,0
285,2024-05-16 16:26:59,0
290,2024-05-16 16:28:00,0
298,2024-05-16 16:28:59,0
326,2024-05-16 16:29:59,0
335,2024-05-16 16:30:59,0
351,2024-05-16 16:31:59,0
395,2024-05-16 16:32:59,0
354,2024-05-16 16:33:59,0
319,2024-05-16 16:34:59,0
308,2024-05-16 16:35:59,0
312,2024-05-16 16:36:59,0
279,2024-05-16 16:37:59,0
318,2024-05-16 16:38:59,0
299,2024-05-16 16:39:59,0
262,2024-05-16 16:40:59,0
241,2024-05-16 16:41:59,0
235,2024-05-16 16:42:59,0
245,2024-05-16 16:43:59,0
241,2024-05-16 16:44:59,0
233,2024-05-16 16:45:59,0
246,2024-05-16 16:46:59,0
315,2024-05-16 16:48:00,0
285,2024-05-16 16:48:59,0
232,2024-05-16 16:49:59,0
418,2024-05-16 16:51:00,0
304,2024-05-16 16:51:59,0
439,2024-05-16 16:52:59,0
290,2024-05-16 16:53:59,0
279,2024-05-16 16:54:59,0
252,2024-05-16 16:55:59,0
238,2024-05-16 16:56:59,0
241,2024-05-16 16:57:59,0
238,2024-05-16 16:58:59,0
466,2024-05-16 17:00:59,0
286,2024-05-16 17:01:59,0
290,2024-05-16 17:03:00,0
265,2024-05-16 17:03:59,0
274,2024-05-16 17:04:59,0
428,2024-05-16 17:06:00,0
296,2024-05-16 17:07:00,0
256,2024-05-16 17:07:59,0
427,2024-05-16 17:08:59,0
296,2024-05-16 17:09:59,0
296,2024-05-16 17:10:59,0
274,2024-05-16 17:11:59,0
296,2024-05-16 17:12:59,0
298,2024-05-16 17:13:59,0
293,2024-05-16 17:15:00,0
282,2024-05-16 17:15:59,0
296,2024-05-16 17:16:59,0
282,2024-05-16 17:17:59,0
290,2024-05-16 17:18:59,0
290,2024-05-16 17:19:59,0
288,2024-05-16 17:21:00,0
