P3_22,P3_21,P3_20,P3_19,csvTime
21,22,849,858,2024-05-16 16:00:02
21,22,765,756,2024-05-16 16:01:02
21,22,841,815,2024-05-16 16:02:02
21,22,765,735,2024-05-16 16:03:02
22,22,527,818,2024-05-16 16:04:02
34,32,410,447,2024-05-16 16:05:02
39,39,382,369,2024-05-16 16:06:02
25,22,482,634,2024-05-16 16:07:02
26,27,510,499,2024-05-16 16:08:02
37,50,320,268,2024-05-16 16:09:02
26,26,622,635,2024-05-16 16:10:02
26,27,494,507,2024-05-16 16:11:02
30,31,455,459,2024-05-16 16:12:02
31,31,460,452,2024-05-16 16:13:02
19,22,759,903,2024-05-16 16:14:02
21,22,899,903,2024-05-16 16:15:02
28,22,949,903,2024-05-16 16:16:02
23,21,895,532,2024-05-16 16:17:02
17,29,435,46,2024-05-16 16:18:02
32,0,387,900,2024-05-16 16:19:02
35,36,895,900,2024-05-16 16:20:02
1,0,895,898,2024-05-16 16:21:02
38,0,895,898,2024-05-16 16:22:02
1,0,895,900,2024-05-16 16:23:02
1,0,895,898,2024-05-16 16:24:02
1,0,896,898,2024-05-16 16:25:02
1,0,895,898,2024-05-16 16:26:02
22,22,-886,-885,2024-05-16 16:27:02
22,23,-886,-885,2024-05-16 16:28:02
24,25,-886,-885,2024-05-16 16:29:02
29,30,-886,-885,2024-05-16 16:30:02
32,32,-22,-277,2024-05-16 16:31:02
29,30,-904,-909,2024-05-16 16:32:02
28,29,-906,-909,2024-05-16 16:33:02
25,47,894,898,2024-05-16 16:34:02
26,27,-342,-344,2024-05-16 16:35:02
26,26,-340,-344,2024-05-16 16:36:02
28,28,-4,1,2024-05-16 16:37:02
18,19,237,220,2024-05-16 16:38:02
22,23,-344,-344,2024-05-16 16:39:02
15,16,1,-35,2024-05-16 16:40:02
15,16,-151,-168,2024-05-16 16:41:02
13,13,-201,-252,2024-05-16 16:42:02
13,14,-344,-344,2024-05-16 16:43:02
7,8,-337,-345,2024-05-16 16:44:02
7,8,-344,-344,2024-05-16 16:45:02
7,8,-344,-344,2024-05-16 16:46:02
14,14,-344,-344,2024-05-16 16:47:02
1,0,894,898,2024-05-16 16:48:02
1,0,895,898,2024-05-16 16:49:02
1,0,895,898,2024-05-16 16:50:02
1,0,895,898,2024-05-16 16:51:02
35,36,-835,-909,2024-05-16 16:52:02
40,41,-340,-344,2024-05-16 16:53:02
22,22,-90,-68,2024-05-16 16:54:02
17,19,4,-16,2024-05-16 16:55:02
13,14,-96,-96,2024-05-16 16:56:02
13,14,-256,-242,2024-05-16 16:57:02
9,10,50,176,2024-05-16 16:58:02
10,11,-213,-237,2024-05-16 16:59:02
17,18,-340,-344,2024-05-16 17:00:02
28,29,-8,-4,2024-05-16 17:01:02
23,23,-6,-6,2024-05-16 17:02:02
23,23,-6,-2,2024-05-16 17:03:02
23,23,-6,-4,2024-05-16 17:04:02
25,43,-6,-4,2024-05-16 17:05:02
50,50,-6,-2,2024-05-16 17:06:02
1,0,-6,-4,2024-05-16 17:07:02
10,0,895,-4,2024-05-16 17:08:02
39,50,-425,-678,2024-05-16 17:09:02
20,21,2,0,2024-05-16 17:10:02
20,21,2,-2,2024-05-16 17:11:02
20,21,2,0,2024-05-16 17:12:02
20,21,3,0,2024-05-16 17:13:02
20,21,2,0,2024-05-16 17:14:02
20,21,-320,-365,2024-05-16 17:15:02
20,21,-6,-4,2024-05-16 17:16:02
23,23,-6,-4,2024-05-16 17:17:02
23,24,-6,-4,2024-05-16 17:18:02
23,23,-6,-4,2024-05-16 17:19:02
23,23,-6,-4,2024-05-16 17:20:02
23,23,-6,-4,2024-05-16 17:21:02
1,0,895,898,2024-05-16 17:22:02
1,0,895,898,2024-05-16 17:23:02
14,15,-215,-241,2024-05-16 17:24:02
12,13,-340,-344,2024-05-16 17:25:02
