1-2-1_v,1-2-0_v,1-2-3_v,1-2-2_v,1-2-5_v,1-2-4_v,1-2-13_v,1-2-7_v,1-2-6_v,1-2-9_v,1-2-8_v,1-2-10_v,1-2-12_v,1-2-11_v,csvTime
6952,6953,10,6951,6,9,0.0,2,10,96,10,6000,2238,2,2024-05-16 16:00:46
6952,6953,10,6951,6,9,0.0,2,9,96,10,5999,2620,0,2024-05-16 16:01:46
6954,6954,10,6953,6,8,0.0,2,9,96,10,5993,2569,3,2024-05-16 16:02:46
6956,6957,15,6955,13,14,0.0,4,13,96,14,5976,244,0,2024-05-16 16:03:48
6953,6954,14,6951,11,13,0.0,3,13,96,14,5991,1293,6,2024-05-16 16:04:48
6952,6954,10,6950,6,9,0.0,2,10,96,10,5988,2500,2,2024-05-16 16:05:49
6950,6951,11,6949,8,10,0.0,3,10,96,11,5995,1838,3,2024-05-16 16:06:50
6951,6953,10,6949,7,9,0.0,2,10,96,10,6021,2361,4,2024-05-16 16:07:51
6947,6948,38,6945,36,37,0.0,7,33,97,34,6002,257,6,2024-05-16 16:08:52
6951,6952,11,6949,8,10,0.0,3,11,96,11,6018,1911,3,2024-05-16 16:09:53
6954,6956,10,6953,6,9,0.0,2,9,96,10,6011,2617,2,2024-05-16 16:10:53
6954,6955,10,6952,6,9,0.0,2,9,96,10,6008,2675,0,2024-05-16 16:11:54
6951,6953,10,6949,6,9,0.0,2,9,96,10,6008,2640,0,2024-05-16 16:12:54
6951,6953,10,6949,6,9,0.0,2,9,96,10,6000,2675,8,2024-05-16 16:13:55
6951,6953,10,6950,6,9,0.0,2,9,96,10,6004,2525,0,2024-05-16 16:14:55
6955,6957,10,6953,6,9,0.0,2,9,96,10,6001,2557,2,2024-05-16 16:15:55
6955,6956,11,6953,9,10,0.0,3,10,94,11,5996,1246,0,2024-05-16 16:16:56
6959,6960,22,6957,21,22,0.0,4,21,97,21,6012,227,2,2024-05-16 16:17:57
6973,6975,10,6972,6,9,0.0,2,9,96,10,6007,2652,5,2024-05-16 16:18:57
6977,6979,10,6976,6,9,0.0,2,10,96,10,6007,2585,3,2024-05-16 16:19:58
6972,6974,10,6971,6,9,0.0,2,9,96,10,6015,2576,7,2024-05-16 16:20:58
6975,6977,10,6973,6,9,0.0,2,9,96,10,6004,2681,2,2024-05-16 16:21:58
6976,6977,10,6974,6,9,0.0,2,9,96,10,6008,2502,0,2024-05-16 16:22:59
6977,6978,10,6975,6,9,0.0,2,9,96,10,6008,2728,0,2024-05-16 16:23:59
6976,6978,0,6973,0,0,0.0,1,3,100,3,6008,0,7,2024-05-16 16:24:59
6976,6978,0,6975,0,0,0.0,1,2,100,2,6012,0,2,2024-05-16 16:25:59
6976,6978,10,6974,6,9,0.0,2,9,96,10,6010,2661,5,2024-05-16 16:26:59
6975,6977,10,6974,6,9,0.0,2,10,96,10,6007,2611,0,2024-05-16 16:27:59
6975,6977,10,6973,6,9,0.0,2,9,96,10,6008,2654,0,2024-05-16 16:28:59
6975,6977,10,6973,6,9,0.0,2,10,96,10,6007,2660,0,2024-05-16 16:29:59
6977,6979,10,6974,8,9,0.0,3,10,96,10,6007,1534,0,2024-05-16 16:30:59
6975,6977,10,6973,6,9,0.0,2,10,96,10,5999,2597,6,2024-05-16 16:32:00
6976,6977,10,6974,6,9,0.0,2,9,96,10,6002,2711,0,2024-05-16 16:33:00
6973,6976,10,6970,6,9,0.0,2,9,96,10,6019,2579,5,2024-05-16 16:34:00
6975,6977,10,6973,6,9,0.0,2,9,96,10,6006,2670,6,2024-05-16 16:35:00
6975,6976,10,6973,6,9,0.0,2,9,96,10,6005,2612,2,2024-05-16 16:36:01
6976,6979,10,6974,6,9,0.0,2,10,96,10,6006,2467,4,2024-05-16 16:37:01
6976,6979,11,6973,9,10,0.0,3,10,96,11,6008,987,7,2024-05-16 16:38:01
6974,6976,10,6972,6,9,0.0,2,9,96,10,6008,2656,0,2024-05-16 16:39:02
6976,6979,10,6973,7,9,0.0,2,10,96,10,6008,1667,9,2024-05-16 16:40:02
6974,6976,19,6972,18,19,0.0,4,18,97,18,6007,455,6,2024-05-16 16:41:03
6976,6978,11,6974,8,10,0.0,3,10,96,10,6009,1719,5,2024-05-16 16:42:03
6976,6978,10,6974,6,9,0.0,2,9,96,10,6010,2697,2,2024-05-16 16:43:03
6976,6978,10,6974,6,9,0.0,2,9,96,10,6009,2686,6,2024-05-16 16:44:03
6976,6977,10,6974,6,9,0.0,2,9,96,10,6009,2635,0,2024-05-16 16:45:03
6973,6974,10,6971,6,9,0.0,2,9,96,10,6009,2611,8,2024-05-16 16:46:03
6977,6979,10,6974,6,9,0.0,2,9,96,10,6008,2671,0,2024-05-16 16:47:03
